Run,Security,Year,Price,Delta,IsSplit,IsBust,Yield,AvgRateOfReturn
3,Tri-City,2,141,18,False,False,0,0.188170731707317
3,United,2,141,18,False,False,2,0.20630081300813
3,Uranium,2,105,-14,False,False,6,0.0913865546218487
3,Valley Power,2,124,10,False,False,3,0.142017543859649
3,CCity Bonds,3,100,0,False,False,5,0.05
3,Growth Corp,3,77,23,True,False,1,0.166552706552707
3,Metro Prop,3,104,28,False,False,0,0.278206466579672
3,Pioneer,3,112,-2,False,False,4,0.0772638824199141
3,Shady,3,123,11,False,False,0,0.0736904761904762
3,Stryker,3,91,56,True,False,0,0.244717491213842
3,Tri-City,3,80,19,True,False,0,0.17036441215476
3,United,3,86,30,True,False,2,0.220276192123623
3,Uranium,3,134,29,False,False,6,0.17203548085901
3,Valley Power,3,138,14,False,False,3,0.140377287304282
3,CCity Bonds,4,100,0,False,False,5,0.05
3,Growth Corp,4,97,20,False,False,1,0.193096348096348
3,Metro Prop,4,119,15,False,False,0,0.244712542242447
3,Pioneer,4,127,15,False,False,4,0.10035862610065
3,Shady,4,130,7,False,False,0,0.0694954994192799
3,Stryker,4,71,-20,False,False,0,0.128593063465326
3,Tri-City,4,95,15,False,False,0,0.17464830911607
3,United,4,99,13,False,False,2,0.208811795255508
3,Uranium,4,124,-10,False,False,6,0.121563924077094
3,Valley Power,4,75,12,True,False,3,0.137891661130386
3,CCity Bonds,5,100,0,False,False,5,0.05
3,Growth Corp,5,108,11,False,False,1,0.179219346518316
3,Metro Prop,5,137,18,False,False,0,0.226022134634293
3,Pioneer,5,141,14,False,False,4,0.108633357573433
3,Shady,5,141,11,False,False,0,0.0725194764585008
3,Stryker,5,138,67,False,False,0,0.291606845138458
3,Tri-City,5,110,15,False,False,0,0.171297594661277
3,United,5,121,22,False,False,2,0.215534284689255
3,Uranium,5,142,18,False,False,6,0.13596081668103
3,Valley Power,5,88,13,False,False,3,0.152979995570975
3,CCity Bonds,6,100,0,False,False,5,0.05
3,Growth Corp,6,128,20,False,False,1,0.181756862839337
3,Metro Prop,6,76,15,True,False,0,0.206599954044393
3,Pioneer,6,78,15,True,False,4,0.117714559207175
3,Shady,6,148,7,False,False,0,0.0687071287272377
3,Stryker,6,118,-20,False,False,0,0.218851114910068
3,Tri-City,6,125,15,False,False,0,0.165475268278337
3,United,6,134,13,False,False,2,0.200273060932506
3,Uranium,6,132,-10,False,False,6,0.108605844886774
3,Valley Power,6,100,12,False,False,3,0.15589242055157
3,CCity Bonds,7,100,0,False,False,5,0.05
3,Growth Corp,7,146,18,False,False,1,0.176996953862289
3,Metro Prop,7,99,23,False,False,0,0.220318757601961
3,Pioneer,7,89,11,False,False,4,0.128370721078678
3,Shady,7,80,12,True,False,0,0.0704748362063582
3,Stryker,7,82,46,True,False,0,0.24327674256214
3,Tri-City,7,143,18,False,False,0,0.162407372810003
3,United,7,129,-5,False,False,2,0.168464329413363
3,Uranium,7,83,34,True,False,6,0.142874273972213
3,Valley Power,7,115,15,False,False,3,0.159336360472774
3,CCity Bonds,8,100,0,False,False,5,0.05
3,Growth Corp,8,77,7,True,False,1,0.163433978465119
3,Metro Prop,8,93,-6,False,False,0,0.185203155325958
3,Pioneer,8,99,10,False,False,4,0.131987302292158
3,Shady,8,70,-10,False,False,0,0.0460404816805634
3,Stryker,8,112,30,False,False,0,0.258598857058946
3,Tri-City,8,149,6,False,False,0,0.147351206453508
3,United,8,110,-19,False,False,2,0.130933420019639
3,Uranium,8,105,22,False,False,6,0.167183664424481
3,Valley Power,8,113,-2,False,False,3,0.140506271935417
3,CCity Bonds,9,100,0,False,False,5,0.05
3,Growth Corp,9,94,17,False,False,1,0.171248673498576
3,Metro Prop,9,114,21,False,False,0,0.189714632691174
3,Pioneer,9,112,13,False,False,4,0.13640173222827
3,Shady,9,68,-2,False,False,0,0.0377502694303421
3,Stryker,9,149,37,False,False,0,0.266571999925412
3,Tri-City,9,86,23,True,False,0,0.148130229748383
3,United,9,133,23,False,False,2,0.141637787492204
3,Uranium,9,124,19,False,False,6,0.175062728165677
3,Valley Power,9,127,14,False,False,3,0.141610294817716
3,CCity Bonds,10,100,0,False,False,5,0.05
3,Growth Corp,10,114,20,False,False,1,0.176464231680634
3,Metro Prop,10,129,15,False,False,0,0.183901064158899
3,Pioneer,10,127,15,False,False,4,0.139725844719729
3,Shady,10,75,7,False,False,0,0.0442693601343667
3,Stryker,10,129,-20,False,False,0,0.226491981140925
3,Tri-City,10,101,15,False,False,0,0.150759067238661
3,United,10,146,13,False,False,2,0.138752204231705
3,Uranium,10,114,-10,False,False,6,0.154330648897496
3,Valley Power,10,139,12,False,False,3,0.139260288957991
4,CCity Bonds,1,100,0,False,False,5,0.05
4,Growth Corp,1,107,7,False,False,1,0.0800000000000001
4,Metro Prop,1,108,8,False,False,0,0.0800000000000001
4,Pioneer,1,105,5,False,False,4,0.0900000000000001
4,Shady,1,94,-6,False,False,0,-0.0600000000000001
4,Stryker,1,60,-40,False,False,0,-0.4
4,Tri-City,1,103,3,False,False,0,0.03
4,United,1,116,16,False,False,2,0.18
4,Uranium,1,86,-14,False,False,6,-0.08
4,Valley Power,1,104,4,False,False,3,0.0700000000000001
4,CCity Bonds,2,100,0,False,False,5,0.05
4,Growth Corp,2,114,7,False,False,1,0.0773831775700935
4,Metro Prop,2,116,8,False,False,0,0.0770370370370371
4,Pioneer,2,110,5,False,False,4,0.0878571428571429
4,Shady,2,88,-6,False,False,0,-0.0619148936170213
4,Stryker,2,20,-40,False,False,0,-0.533333333333333
4,Tri-City,2,106,3,False,False,0,0.0295631067961165
4,United,2,132,16,False,False,2,0.167586206896552
4,Uranium,2,72,-14,False,False,6,-0.0865116279069768
4,Valley Power,2,108,4,False,False,3,0.0686538461538462
4,CCity Bonds,3,100,0,False,False,5,0.05
4,Growth Corp,3,126,12,False,False,1,0.0896004809531617
4,Metro Prop,3,130,14,False,False,0,0.0915879097488293
4,Pioneer,3,123,13,False,False,4,0.11008658008658
4,Shady,3,98,10,False,False,0,-0.00339780786589302
4,Stryker,3,30,10,False,False,0,-0.188888888888889
4,Tri-City,3,126,20,False,False,0,0.0826018196250839
4,United,3,77,21,True,False,2,0.1773807035876
4,Uranium,3,97,25,False,False,6,0.0858440999138674
4,Valley Power,3,116,8,False,False,3,0.0797198480531814
4,CCity Bonds,4,100,0,False,False,5,0.05
4,Growth Corp,4,146,20,False,False,1,0.108867027381538
4,Metro Prop,4,145,15,False,False,0,0.0975370861577758
4,Pioneer,4,138,15,False,False,4,0.121182821243797
4,Shady,4,105,7,False,False,0,0.0153087869577231
4,Stryker,4,10,-20,False,False,0,-0.308333333333333
4,Tri-City,4,141,15,False,False,0,0.0917132694807177
4,United,4,90,13,False,False,2,0.181736826391999
4,Uranium,4,87,-10,False,False,6,0.0540737965848851
4,Valley Power,4,128,12,False,False,3,0.0921174722467826
4,CCity Bonds,5,100,0,False,False,5,0.05
4,Growth Corp,5,85,23,True,False,1,0.122710060261395
4,Metro Prop,5,87,28,True,False,0,0.118029668926221
4,Pioneer,5,136,-2,False,False,4,0.0998448077196752
4,Shady,5,116,11,False,False,0,0.0331994105185594
4,Stryker,5,66,56,False,False,0,0.873333333333333
4,Tri-City,5,80,19,True,False,0,0.100320970194503
4,United,5,120,30,False,False,2,0.21650057222471
4,Uranium,5,116,29,False,False,6,0.123718807382851
4,Valley Power,5,142,14,False,False,3,0.100256477797426
4,CCity Bonds,6,100,0,False,False,5,0.05
4,Growth Corp,6,98,13,False,False,1,0.129709363943319
4,Metro Prop,6,118,31,False,False,0,0.157745030618594
4,Pioneer,6,137,1,False,False,4,0.0893314574134548
4,Shady,6,130,14,False,False,0,0.0477811179608685
4,Stryker,6,55,-11,False,False,0,0.7
4,Tri-City,6,98,18,False,False,0,0.121100808495419
4,United,6,138,18,False,False,2,0.20819492129837
4,Uranium,6,102,-14,False,False,6,0.0916047532788123
4,Valley Power,6,76,10,True,False,3,0.102326407554193
4,CCity Bonds,7,100,0,False,False,5,0.05
4,Growth Corp,7,107,9,False,False,1,0.125756714283778
4,Metro Prop,7,128,10,False,False,0,0.147316563774775
4,Pioneer,7,144,7,False,False,4,0.0880401021833784
4,Shady,7,125,-5,False,False,0,0.0354607384719532
4,Stryker,7,35,-20,False,False,0,0.548051948051948
4,Tri-City,7,110,12,False,False,0,0.121293404366336
4,United,7,80,21,True,False,2,0.205367903555952
4,Uranium,7,120,18,False,False,6,0.112131805331419
4,Valley Power,7,83,7,False,False,3,0.106505341813369
4,CCity Bonds,8,100,0,False,False,5,0.05
4,Growth Corp,8,105,-2,False,False,1,0.10886890069924
4,Metro Prop,8,134,6,False,False,0,0.134761368302928
4,Pioneer,8,141,-3,False,False,4,0.0779031449660116
4,Shady,8,117,-8,False,False,0,0.0230281461629591
4,Stryker,8,15,-20,False,False,0,0.408116883116883
4,Tri-City,8,117,7,False,False,0,0.11408627427509
4,United,8,90,10,False,False,2,0.198446915611458
4,Uranium,8,134,14,False,False,6,0.118948662998325
4,Valley Power,8,89,6,False,False,3,0.106746390954167
4,CCity Bonds,9,100,0,False,False,5,0.05
4,Growth Corp,9,128,23,False,False,1,0.122169181573928
4,Metro Prop,9,81,28,True,False,0,0.14300513003378
4,Pioneer,9,139,-2,False,False,4,0.0708232840990237
4,Shady,9,128,11,False,False,0,0.0309158070356407
4,Stryker,9,71,56,False,False,0,0.777585377585377
4,Tri-City,9,136,19,False,False,0,0.119453706288209
4,United,9,120,30,False,False,2,0.215903431160802
4,Uranium,9,82,29,True,False,6,0.140558015534166
4,Valley Power,9,103,14,False,False,3,0.116109151509822
4,CCity Bonds,10,100,0,False,False,5,0.05
4,Growth Corp,10,136,8,False,False,1,0.116983513416535
4,Metro Prop,10,87,6,False,False,0,0.13611202443781
4,Pioneer,10,143,4,False,False,4,0.0694963513725746
4,Shady,10,124,-4,False,False,0,0.0246992263320767
4,Stryker,10,111,40,False,False,0,0.756164867995854
4,Tri-City,10,144,8,False,False,0,0.113390688600564
4,United,10,124,4,False,False,2,0.199313088044722
4,Uranium,10,70,-12,False,False,6,0.119185140810018
4,Valley Power,10,106,3,False,False,3,0.110323479077286
5,CCity Bonds,1,100,0,False,False,5,0.05
5,Growth Corp,1,107,7,False,False,1,0.0800000000000001
5,Metro Prop,1,108,8,False,False,0,0.0800000000000001
5,Pioneer,1,105,5,False,False,4,0.0900000000000001
5,Shady,1,94,-6,False,False,0,-0.0600000000000001
5,Stryker,1,60,-40,False,False,0,-0.4
5,Tri-City,1,103,3,False,False,0,0.03
5,United,1,116,16,False,False,2,0.18
5,Uranium,1,86,-14,False,False,6,-0.08
5,Valley Power,1,104,4,False,False,3,0.0700000000000001
5,CCity Bonds,2,100,0,False,False,5,0.05
5,Growth Corp,2,125,18,False,False,1,0.128785046728972
5,Metro Prop,2,131,23,False,False,0,0.146481481481482
5,Pioneer,2,116,11,False,False,4,0.116428571428571
5,Shady,2,106,12,False,False,0,0.0338297872340425
5,Stryker,2,106,46,False,False,0,0.183333333333333
5,Tri-City,2,121,18,False,False,0,0.102378640776699
5,United,2,111,-5,False,False,2,0.0770689655172414
5,Uranium,2,120,34,False,False,6,0.192558139534884
5,Valley Power,2,119,15,False,False,3,0.121538461538462
5,CCity Bonds,3,100,0,False,False,5,0.05
5,Growth Corp,3,137,12,False,False,1,0.120523364485981
5,Metro Prop,3,145,14,False,False,0,0.133277730656866
5,Pioneer,3,129,13,False,False,4,0.126469622331691
5,Shady,3,116,10,False,False,0,0.0539997323698648
5,Stryker,3,116,10,False,False,0,0.153668763102725
5,Tri-City,3,141,20,False,False,0,0.123348845917248
5,United,3,132,21,False,False,2,0.120448379413897
5,Uranium,3,145,25,False,False,6,0.214483204134367
5,Valley Power,3,127,8,False,False,3,0.111837965955613
5,CCity Bonds,4,100,0,False,False,5,0.05
5,Growth Corp,4,75,13,True,False,1,0.117764786138209
5,Metro Prop,4,88,31,True,False,0,0.153406573854718
5,Pioneer,4,130,1,False,False,4,0.104542139229389
5,Shady,4,130,14,False,False,0,0.070672213070502
5,Stryker,4,105,-11,False,False,0,0.0915446757753199
5,Tri-City,4,80,18,True,False,0,0.126199577700348
5,United,4,75,18,True,False,2,0.132002951227089
5,Uranium,4,131,-14,False,False,6,0.147069299652499
5,Valley Power,4,137,10,False,False,3,0.109469025647812
5,CCity Bonds,5,100,0,False,False,5,0.05
5,Growth Corp,5,95,20,False,False,1,0.150211828910567
5,Metro Prop,5,103,15,False,False,0,0.156816168174684
5,Pioneer,5,145,15,False,False,4,0.11286448061428
5,Shady,5,137,7,False,False,0,0.0673070012256324
5,Stryker,5,85,-20,False,False,0,0.0351405025250178
5,Tri-City,5,95,15,False,False,0,0.138459662160278
5,United,5,88,13,False,False,2,0.145602360981671
5,Uranium,5,121,-10,False,False,6,0.111548569492992
5,Valley Power,5,149,12,False,False,3,0.109473030737228
5,CCity Bonds,6,100,0,False,False,5,0.05
5,Growth Corp,6,100,5,False,False,1,0.135702839881613
5,Metro Prop,6,110,7,False,False,0,0.142007000986994
5,Pioneer,6,144,-1,False,False,4,0.0975020097073024
5,Shady,6,134,-3,False,False,0,0.0524395326515307
5,Stryker,6,130,45,False,False,0,0.117519046221829
5,Tri-City,6,101,6,False,False,0,0.125909367589705
5,United,6,78,-10,False,False,2,0.106183785666544
5,Uranium,6,131,10,False,False,6,0.114995708737273
5,Valley Power,6,77,4,True,False,3,0.103531776173641
5,CCity Bonds,7,100,0,False,False,5,0.05
5,Growth Corp,7,106,6,False,False,1,0.126316719898525
5,Metro Prop,7,114,4,False,False,0,0.126915091755085
5,Pioneer,7,147,3,False,False,4,0.0905175956221322
5,Shady,7,137,3,False,False,0,0.0481464650872395
5,Stryker,7,115,-15,False,False,0,0.0842470945637651
5,Tri-City,7,106,5,False,False,0,0.114994450861897
5,United,7,86,8,False,False,2,0.109329691743485
5,Uranium,7,123,-8,False,False,6,0.0963867252644454
5,Valley Power,7,82,5,False,False,3,0.103583822991135
5,CCity Bonds,8,100,0,False,False,5,0.05
5,Growth Corp,8,104,-2,False,False,1,0.109347884628191
5,Metro Prop,8,120,6,False,False,0,0.117629652654121
5,Pioneer,8,144,-3,False,False,4,0.0800532363054201
5,Shady,8,129,-8,False,False,0,0.0348288868783418
5,Stryker,8,95,-20,False,False,0,0.0519770773085119
5,Tri-City,8,113,7,False,False,0,0.108874861485292
5,United,8,96,10,False,False,2,0.113105340740666
5,Uranium,8,137,14,False,False,6,0.104663587858422
5,Valley Power,8,88,6,False,False,3,0.104355357312365
5,CCity Bonds,9,100,0,False,False,5,0.05
5,Growth Corp,9,123,19,False,False,1,0.118565641037024
5,Metro Prop,9,144,24,False,False,0,0.12678191347033
5,Pioneer,9,81,17,True,False,4,0.0912201606665463
5,Shady,9,138,9,False,False,0,0.0387109485430222
5,Stryker,9,90,-5,False,False,0,0.0403538932800807
5,Tri-City,9,139,26,False,False,0,0.12234304305084
5,United,9,109,13,False,False,2,0.11789919176948
5,Uranium,9,130,-7,False,False,6,0.0922232703104872
5,Valley Power,9,103,15,False,False,3,0.115487590338264
5,CCity Bonds,10,100,0,False,False,5,0.05
5,Growth Corp,10,149,26,False,False,1,0.128660296445517
5,Metro Prop,10,80,16,True,False,0,0.125214833234408
5,Pioneer,10,106,25,False,False,4,0.117900613735694
5,Shady,10,146,8,False,False,0,0.0406369551379953
5,Stryker,10,76,-14,False,False,0,0.0207629483965171
5,Tri-City,10,80,21,True,False,0,0.125216652414821
5,United,10,123,14,False,False,2,0.120788171675101
5,Uranium,10,126,-4,False,False,6,0.0845394048179
5,Valley Power,10,120,17,False,False,3,0.123356307032593
6,CCity Bonds,1,100,0,False,False,5,0.05
6,Growth Corp,1,112,12,False,False,1,0.13
6,Metro Prop,1,114,14,False,False,0,0.14
6,Pioneer,1,113,13,False,False,4,0.17
6,Shady,1,110,10,False,False,0,0.1
6,Stryker,1,110,10,False,False,0,0.1
